2016-04-29 09:38:55.392 INFO  - com.trane.display.utils.CSVutils: 1,idLbl_pgSubcomponentReport_R3C2,Evaporator Refrigerant Pressure Ckt1
2016-04-29 09:38:55.392 INFO  - com.trane.display.utils.CSVutils: 1,idLbl_pgSubcomponentReport_R3C3,Evaporator Saturated Rfgt Temp Ckt1
2016-04-29 09:38:55.530 INFO  - com.trane.display.utils.BaseActions: ready to verify page 2.
2016-04-29 09:38:55.530 INFO  - com.trane.display.utils.BaseActions: find element By xpath://span[contains(@id,'PageNum')]
2016-04-29 09:38:55.531 INFO  - com.trane.display.utils.BaseActions: getElement method - get the WebElement by locatorName: PageNum
2016-04-29 09:38:55.531 INFO  - com.trane.display.utils.BaseActions: currentPageNum: 1
2016-04-29 09:38:55.531 INFO  - com.trane.display.utils.BaseActions: need click movedown button 1 times to get the expected page.
2016-04-29 09:38:55.531 INFO  - com.trane.display.utils.BaseActions: find element By id:moveDown
2016-04-29 09:38:55.534 INFO  - com.trane.display.utils.BaseActions: getElement method - get the WebElement by locatorName: btn_Down
2016-04-29 09:38:55.535 INFO  - com.trane.display.utils.BaseActions: click btn_Down
2016-04-29 09:38:56.594 INFO  - com.trane.display.utils.BaseActions: D:\Git\TestGradle\src\test\resources\com\trane\display\cases\data\BaseConfigEvap_Ckt1.csv
2016-04-29 09:38:56.596 INFO  - com.trane.display.utils.CSVutils: 2,idLbl_pgSubcomponentReport_R1C1,Oil Return Solenoid Valve Cprsr1A
2016-04-29 09:38:56.597 INFO  - com.trane.display.utils.CSVutils: 2,idLbl_pgSubcomponentReport_R1C2,Oil Return Solenoid Valve Cprsr1B
2016-04-29 09:38:56.597 INFO  - com.trane.display.utils.CSVutils: 2,idLbl_pgSubcomponentReport_R1C3,Blank
2016-04-29 09:38:56.598 INFO  - com.trane.display.utils.CSVutils: 2,idLbl_pgSubcomponentReport_R2C1,EXV Percent Open Ckt1
2016-04-29 09:38:56.598 INFO  - com.trane.display.utils.CSVutils: 2,idLbl_pgSubcomponentReport_R2C2,Blank
2016-04-29 09:38:56.599 INFO  - com.trane.display.utils.CSVutils: 2,idLbl_pgSubcomponentReport_R2C3,Blank
