pageIndex,id,varName
9,idLbl_pgStandardReport_R3C2,Average Line Current % RLA Starter 2B
9,idLbl_pgStandardReport_R3C3,Blank
10,idLbl_pgStandardReport_R1C1,Motor Current L1 % RLA Starter 1A
10,idLbl_pgStandardReport_R1C2,Motor Current L2 % RLA Starter 1A
10,idLbl_pgStandardReport_R1C3,Motor Current L3 % RLA Starter 1A
10,idLbl_pgStandardReport_R2C1,Motor Current L1 Starter 1A
10,idLbl_pgStandardReport_R2C2,Motor Current L2 Starter 1A
10,idLbl_pgStandardReport_R2C3,Motor Current L3 Starter 1A
10,idLbl_pgStandardReport_R3C1,Motor Voltage AB Starter 1A
10,idLbl_pgStandardReport_R3C2,Motor Voltage BC Starter 1A
10,idLbl_pgStandardReport_R3C3,Motor Voltage CA Starter 1A
11,idLbl_pgStandardReport_R1C1,Motor Current L1 % RLA Starter 1B
11,idLbl_pgStandardReport_R1C2,Motor Current L2 % RLA Starter 1B
11,idLbl_pgStandardReport_R1C3,Motor Current L3 % RLA Starter 1B
11,idLbl_pgStandardReport_R2C1,Motor Current L1 Starter 1B
11,idLbl_pgStandardReport_R2C2,Motor Current L2 Starter 1B
11,idLbl_pgStandardReport_R2C3,Motor Current L3 Starter 1B
11,idLbl_pgStandardReport_R3C1,Motor Voltage AB Starter 1B
11,idLbl_pgStandardReport_R3C2,Motor Voltage BC Starter 1B
11,idLbl_pgStandardReport_R3C3,Motor Voltage CA Starter 1B
12,idLbl_pgStandardReport_R1C1,Motor Current L1 % RLA Starter 2A
12,idLbl_pgStandardReport_R1C2,Motor Current L2 % RLA Starter 2A
12,idLbl_pgStandardReport_R1C3,Motor Current L3 % RLA Starter 2A
12,idLbl_pgStandardReport_R2C1,Motor Current L1 Starter 2A
12,idLbl_pgStandardReport_R2C2,Motor Current L2 Starter 2A
12,idLbl_pgStandardReport_R2C3,Motor Current L3 Starter 2A
12,idLbl_pgStandardReport_R3C1,Motor Voltage AB Starter 2A
12,idLbl_pgStandardReport_R3C2,Motor Voltage BC Starter 2A
12,idLbl_pgStandardReport_R3C3,Motor Voltage CA Starter 2A
13,idLbl_pgStandardReport_R1C1,Motor Current L1 % RLA Starter 2B
13,idLbl_pgStandardReport_R1C2,Motor Current L2 % RLA Starter 2B
13,idLbl_pgStandardReport_R1C3,Motor Current L3 % RLA Starter 2B
13,idLbl_pgStandardReport_R2C1,Motor Current L1 Starter 2B
13,idLbl_pgStandardReport_R2C2,Motor Current L2 Starter 2B
13,idLbl_pgStandardReport_R2C3,Motor Current L3 Starter 2B
13,idLbl_pgStandardReport_R3C1,Motor Voltage AB Starter 2B
13,idLbl_pgStandardReport_R3C2,Motor Voltage BC Starter 2B
13,idLbl_pgStandardReport_R3C3,Motor Voltage CA Starter 2B
